,Gold_Price,Real_Interest_Rate
2003-01-05,,2.43
2003-01-12,,2.398
2003-01-19,,2.316
2003-01-26,,2.2
2003-02-02,,2.19
2003-02-09,,2.12
2003-02-16,,2.038
2003-02-23,,1.97
2003-03-02,,1.828
2003-03-09,,1.75
2003-03-16,,1.734
2003-03-23,,2.138
2003-03-30,,2.138
2003-04-06,,2.088
2003-04-13,,2.182
2003-04-20,,2.205
2003-04-27,,2.2359999999999998
2003-05-04,,2.1719999999999997
2003-05-11,,2.0759999999999996
2003-05-18,,1.8940000000000001
2003-05-25,,1.748
2003-06-01,,1.79
2003-06-08,,1.766
2003-06-15,,1.598
2003-06-22,,1.718
2003-06-29,,1.77
2003-07-06,,1.9674999999999998
2003-07-13,,2.016
2003-07-20,,2.0300000000000002
2003-07-27,,2.166
2003-08-03,,2.356
2003-08-10,,2.334
2003-08-17,,2.35
2003-08-24,,2.276
2003-08-31,,2.306
2003-09-07,,2.33
2003-09-14,,2.2060000000000004
2003-09-21,,2.198
2003-09-28,,2.118
2003-10-05,,2.022
2003-10-12,,2.16
2003-10-19,,2.1825
2003-10-26,,2.054
2003-11-02,,1.95
2003-11-09,,2.02
2003-11-16,,1.9849999999999999
2003-11-23,,1.8820000000000001
2003-11-30,,1.9749999999999999
2003-12-07,,2.034
2003-12-14,,1.948
2003-12-21,,1.964
2003-12-28,,1.9775
2004-01-04,,2.015
2004-01-11,,1.97
2004-01-18,,1.844
2004-01-25,,1.8025
2004-02-01,,1.8820000000000001
2004-02-08,,1.8219999999999998
2004-02-15,,1.762
2004-02-22,,1.7625
2004-02-29,,1.702
2004-03-07,,1.556
2004-03-14,,1.46
2004-03-21,,1.408
2004-03-28,,1.416
2004-04-04,,1.534
2004-04-11,,1.775
2004-04-18,,1.8800000000000001
2004-04-25,,1.98
2004-05-02,,2.0780000000000003
2004-05-09,,2.136
2004-05-16,,2.194
2004-05-23,,2.03
2004-05-30,,2.0
2004-06-06,,2.0425
2004-06-13,,2.16
2004-06-20,,2.182
2004-06-27,,2.164
2004-07-04,,2.1060000000000003
2004-07-11,,2.0025
2004-07-18,,2.004
2004-07-25,,2.018
2004-08-01,,2.078
2004-08-08,,1.952
2004-08-15,,1.8379999999999999
2004-08-22,,1.8039999999999998
2004-08-29,,1.866
2004-09-05,,1.818
2004-09-12,,1.835
2004-09-19,,1.828
2004-09-26,,1.7740000000000002
2004-10-03,,1.7559999999999998
2004-10-10,,1.8539999999999999
2004-10-17,,1.7125
2004-10-24,,1.666
2004-10-31,,1.6599999999999997
2004-11-07,,1.65
2004-11-14,,1.73
2004-11-21,,1.658
2004-11-28,,1.6425
2004-12-05,,1.768
2004-12-12,,1.6620000000000001
2004-12-19,,1.6239999999999999
2004-12-26,,1.615
2005-01-02,,1.6939999999999997
2005-01-09,,1.766
2005-01-16,,1.736
2005-01-23,,1.7
2005-01-30,,1.702
2005-02-06,,1.6800000000000002
2005-02-13,,1.564
2005-02-20,,1.6239999999999999
2005-02-27,,1.65
2005-03-06,,1.684
2005-03-13,,1.73
2005-03-20,,1.786
2005-03-27,,1.8725
