,Gold_Price,Real_Interest_Rate
2015-10-25,1169.2599999999998,0.586
2015-11-01,1159.3600000000001,0.618
2015-11-08,1109.6200000000001,0.688
2015-11-15,1084.625,0.7675000000000001
2015-11-22,1075.06,0.7060000000000001
2015-11-29,1066.45,0.625
2015-12-06,1065.58,0.6439999999999999
2015-12-13,1074.94,0.688
2015-12-20,1063.28,0.784
2015-12-27,1074.725,0.755
2016-01-03,1064.075,0.7575000000000001
2016-01-10,1090.2400000000002,0.6679999999999999
2016-01-17,1086.56,0.6799999999999999
2016-01-24,1097.45,0.7075
2016-01-31,1115.0,0.614
2016-02-07,1142.34,0.524
2016-02-14,1215.66,0.49800000000000005
2016-02-21,1219.175,0.5175000000000001
2016-02-28,1226.2,0.388
2016-03-06,1247.1799999999998,0.33399999999999996
2016-03-13,1263.3,0.41600000000000004
2016-03-20,1245.04,0.378
2016-03-27,1235.9,0.3075
2016-04-03,1229.44,0.20800000000000002
2016-04-10,1230.8,0.14200000000000002
2016-04-17,1245.66,0.20800000000000002
2016-04-24,1244.8,0.22400000000000003
2016-05-01,1258.18,0.192
2016-05-08,1285.66,0.168
2016-05-15,1270.16,0.15
2016-05-22,1266.64,0.22799999999999998
2016-05-29,1230.6200000000001,0.284
2016-06-05,1221.925,0.2675
2016-06-12,1261.06,0.13999999999999999
2016-06-19,1291.3,0.16
2016-06-26,1284.02,0.23199999999999998
2016-07-03,1325.8200000000002,0.086
2016-07-10,1361.575,-0.042499999999999996
2016-07-17,1339.02,0.06
2016-07-24,1330.26,0.092
2016-07-31,1337.74,0.030000000000000006
2016-08-07,1361.74,0.076
2016-08-14,1346.6200000000001,0.074
2016-08-21,1351.3200000000002,0.096
2016-08-28,1333.94,0.094
2016-09-04,1319.76,0.11600000000000002
2016-09-11,1344.825,0.0875
2016-09-18,1320.72,0.20600000000000002
2016-09-25,1330.76,0.136
2016-10-02,1328.26,0.024
2016-10-09,1271.1799999999998,0.076
2016-10-16,1255.7,0.1325
2016-10-23,1264.92,0.082
2016-10-30,1270.04,0.10400000000000001
2016-11-06,1295.42,0.11600000000000002
2016-11-13,1273.45,0.1975
2016-11-20,1219.14,0.41200000000000003
2016-11-27,1199.325,0.435
2016-12-04,1181.1399999999999,0.462
2016-12-11,1171.6799999999998,0.454
2016-12-18,1151.1399999999999,0.616
2016-12-25,1134.76,0.634
2017-01-01,1147.375,0.5475
2017-01-08,1170.5,0.45499999999999996
2017-01-15,1192.6,0.40800000000000003
2017-01-22,1207.85,0.4125
2017-01-29,1203.24,0.418
2017-02-05,1211.1799999999998,0.42400000000000004
2017-02-12,1236.08,0.398
2017-02-19,1233.0,0.43600000000000005
2017-02-26,1245.475,0.36
2017-03-05,1244.42,0.41
2017-03-12,1211.1200000000001,0.54
2017-03-19,1212.74,0.5439999999999999
2017-03-26,1247.6399999999999,0.446
2017-04-02,1254.72,0.43200000000000005
2017-04-09,1254.3,0.398
2017-04-16,1273.675,0.3875
2017-04-23,1288.46,0.372
2017-04-30,1268.6200000000001,0.40599999999999997
2017-05-07,1243.3,0.45599999999999996
2017-05-14,1222.8,0.53
2017-05-21,1246.3,0.462
2017-05-28,1261.6,0.446
2017-06-04,1272.85,0.39
2017-06-11,1284.8600000000001,0.4
2017-06-18,1264.9,0.46799999999999997
2017-06-25,1248.3600000000001,0.48600000000000004
2017-07-02,1246.1,0.51
2017-07-09,1218.475,0.6125
2017-07-16,1218.3600000000001,0.6
2017-07-23,1247.5,0.508
2017-07-30,1263.3200000000002,0.49000000000000005
2017-08-06,1274.0400000000002,0.472
2017-08-13,1278.1399999999999,0.42800000000000005
2017-08-20,1287.4,0.44800000000000006
2017-08-27,1294.46,0.43200000000000005
2017-09-03,1320.1799999999998,0.384
2017-09-10,1346.25,0.2825
2017-09-17,1330.1799999999998,0.33799999999999997
2017-09-24,1306.02,0.404
2017-10-01,1294.9,0.43
2017-10-08,1275.06,0.49399999999999994
2017-10-15,1295.95,0.45
2017-10-22,1288.54,0.49000000000000005
2017-10-29,1275.92,0.548
2017-11-05,1274.56,0.49000000000000005
2017-11-12,1280.56,0.466
2017-11-19,1280.31,0.506
2017-11-26,1286.3625,0.505
2017-12-03,1288.5700000000002,0.518
2017-12-10,1265.24,0.49399999999999994
2017-12-17,1249.85,0.49000000000000005
2017-12-24,1264.3200000000002,0.542
2017-12-31,1291.1666666666667,0.4633333333333333
2018-01-07,1314.75,0.4575
2018-01-14,1321.6299999999999,0.518
2018-01-21,1334.4625,0.5475
2018-01-28,1347.27,0.576
2018-02-04,1344.71,0.6439999999999999
2018-02-11,1327.47,0.728
2018-02-18,1338.83,0.792
2018-02-25,1329.6,0.7925
2018-03-04,1324.02,0.74
2018-03-11,1325.7,0.76
2018-03-18,1320.8600000000001,0.754
2018-03-25,1322.4,0.776
2018-04-01,1341.0,0.7224999999999999
2018-04-08,1333.1,0.7175
2018-04-15,1339.26,0.7
2018-04-22,1344.39,0.728
2018-04-29,1324.1299999999999,0.82
2018-05-06,1311.77,0.792
2018-05-13,1314.125,0.8125
2018-05-20,1299.71,0.906
2018-05-27,1294.81,0.876
2018-06-03,1300.825,0.7675000000000001
2018-06-10,1295.9299999999998,0.8119999999999999
2018-06-17,1298.83,0.8300000000000001
2018-06-24,1273.3799999999999,0.79
2018-07-01,1256.96,0.746
2018-07-08,1250.3875,0.7124999999999999
2018-07-15,1250.33,0.736
2018-07-22,1230.85,0.768
2018-07-29,1226.3600000000001,0.842
2018-08-05,1217.8600000000001,0.85
2018-08-12,1213.3799999999999,0.826
2018-08-19,1188.55,0.788
2018-08-26,1191.3899999999999,0.744
2018-09-02,1206.5625,0.77
2018-09-09,1198.875,0.8125
2018-09-16,1200.09,0.8619999999999999
2018-09-23,1201.96,0.916
2018-09-30,1195.3,0.9199999999999999
2018-10-07,1196.4,0.994
2018-10-14,1198.4125,1.0375
2018-10-21,1228.29,1.056
2018-10-28,1231.67,1.062
2018-11-04,1225.44,1.094
2018-11-11,1228.8,1.152
2018-11-18,1206.35,1.1025
2018-11-25,1223.2,1.085
2018-12-02,1222.3600000000001,1.094
2018-12-09,1236.9875,0.98
2018-12-16,1244.6799999999998,1.056
2018-12-23,1249.82,1.016
2018-12-30,1269.8666666666666,1.0033333333333332
2019-01-06,1286.7875,0.9325
2019-01-13,1288.3799999999999,0.9099999999999999
2019-01-20,1290.52,0.9279999999999999
2019-01-27,1283.0875,0.9575
2019-02-03,1313.1100000000001,0.874
2019-02-10,1311.2099999999998,0.8320000000000001
2019-02-17,1310.6299999999999,0.828
2019-02-24,1333.15,0.765
2019-03-03,1323.71,0.762
2019-03-10,1287.7,0.762
2019-03-17,1300.71,0.694
2019-03-24,1309.02,0.6
2019-03-31,1310.1799999999998,0.548
2019-04-07,1290.29,0.598
2019-04-14,1300.91,0.586
2019-04-21,1280.775,0.63
2019-04-28,1276.65,0.5725
2019-05-05,1278.1200000000001,0.604
2019-05-12,1284.6375,0.5974999999999999
2019-05-19,1292.16,0.558
2019-05-26,1276.54,0.588
2019-06-02,1284.9625,0.47750000000000004
2019-06-09,1329.25,0.366
2019-06-16,1335.23,0.43
2019-06-23,1358.03,0.374
2019-06-30,1411.44,0.32599999999999996
2019-07-07,1405.6625,0.3325
2019-07-14,1403.3899999999999,0.35
2019-07-21,1418.22,0.292
2019-07-28,1422.4299999999998,0.274
